n_params,n_tokens,flops,val_loss
1833728,1999488,21999102787584,4.375685214996338
1833728,9999472,110017870749696,3.1986064434051515
1833728,49999392,550111710560256,2.550479972362518
5451264,1999488,65398421716992,4.080004727840423
5451264,9999472,327058570395648,2.8658703565597534
5451264,49999392,1635359313788928,2.249559259414673
20866560,1999488,250334617927680,4.016362416744232
20866560,9999472,1251927494737920,2.683750021457672
20866560,49999392,6259891878789120,2.0713593661785126

